trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
181,False,"{'a': 0.5, 'e': 9.777975663122846e-05}",30,8,-10.543222217035948,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 9.289076879966704e-05}",30,8,36.61746185960844,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 8.824623035968368e-05}",20,0,31.39628074989631,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 8.383391884169949e-05}",20,0,33.28035742251913,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.5, 'e': 7.96422228996145e-05}",25,10,23.25799321670264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 7.566011175463378e-05}",25,15,19.20507989915871,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 7.187710616690208e-05}",25,14,22.542185257165443,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 6.828325085855697e-05}",25,15,20.06046466638479,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 6.486908831562912e-05}",35,26,17.97036177628891,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 6.162563389984766e-05}",20,12,14.904480471030048,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 5.8544352204855274e-05}",25,10,25.67682329750424,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 5.561713459461251e-05}",20,0,32.173950428392416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 5.283627786488188e-05}",20,14,13.455159915377155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 5.019446397163778e-05}",20,2,28.53225119510012,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 4.768474077305589e-05}",25,17,19.317904784081854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 4.53005037344031e-05}",25,14,20.640692960893922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 4.303547854768294e-05}",35,26,19.325209918399214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
